(ep: 3, it: 127200, t: 0.057[s], ept: 1.96/2.33[h]) loss_total: 0.492, acc_r: 0.710
(ep: 3, it: 132200, t: 0.057[s], ept: 2.04/2.33[h]) loss_total: 0.495, acc_r: 0.770
(ep: 3, it: 137200, t: 0.057[s], ept: 2.11/2.33[h]) loss_total: 0.435, acc_r: 0.800
(ep: 3, it: 142200, t: 0.057[s], ept: 2.19/2.33[h]) loss_total: 0.385, acc_r: 0.820
(ep: 3, it: 147200, t: 0.057[s], ept: 2.27/2.33[h]) loss_total: 0.419, acc_r: 0.820
(ep: 4, it: 800, t: 0.057[s], ept: 0.01/2.52[h]) loss_total: 0.542, acc_r: 0.790
(ep: 4, it: 5800, t: 0.057[s], ept: 0.09/2.35[h]) loss_total: 0.385, acc_r: 0.840
(ep: 4, it: 10800, t: 0.057[s], ept: 0.17/2.34[h]) loss_total: 0.386, acc_r: 0.850
(ep: 4, it: 15800, t: 0.057[s], ept: 0.24/2.34[h]) loss_total: 0.490, acc_r: 0.730
(ep: 4, it: 20800, t: 0.057[s], ept: 0.32/2.34[h]) loss_total: 0.468, acc_r: 0.740
(ep: 4, it: 25800, t: 0.057[s], ept: 0.40/2.34[h]) loss_total: 0.475, acc_r: 0.740
(ep: 4, it: 30800, t: 0.057[s], ept: 0.47/2.34[h]) loss_total: 0.575, acc_r: 0.690
(ep: 4, it: 35800, t: 0.057[s], ept: 0.55/2.33[h]) loss_total: 0.446, acc_r: 0.800
(ep: 4, it: 40800, t: 0.057[s], ept: 0.63/2.33[h]) loss_total: 0.537, acc_r: 0.730
(ep: 4, it: 45800, t: 0.057[s], ept: 0.71/2.33[h]) loss_total: 0.345, acc_r: 0.900
(ep: 4, it: 50800, t: 0.057[s], ept: 0.78/2.33[h]) loss_total: 0.397, acc_r: 0.800
(ep: 4, it: 55800, t: 0.057[s], ept: 0.86/2.33[h]) loss_total: 0.418, acc_r: 0.760
(ep: 4, it: 60800, t: 0.057[s], ept: 0.94/2.33[h]) loss_total: 0.521, acc_r: 0.790
(ep: 4, it: 65800, t: 0.057[s], ept: 1.01/2.33[h]) loss_total: 0.467, acc_r: 0.780
(ep: 4, it: 70800, t: 0.057[s], ept: 1.09/2.33[h]) loss_total: 0.484, acc_r: 0.790
(ep: 4, it: 75800, t: 0.056[s], ept: 1.17/2.33[h]) loss_total: 0.392, acc_r: 0.830
(ep: 4, it: 80800, t: 0.057[s], ept: 1.24/2.33[h]) loss_total: 0.454, acc_r: 0.780
(ep: 4, it: 85800, t: 0.057[s], ept: 1.32/2.33[h]) loss_total: 0.481, acc_r: 0.740
(ep: 4, it: 90800, t: 0.057[s], ept: 1.40/2.33[h]) loss_total: 0.461, acc_r: 0.820
(ep: 4, it: 95800, t: 0.057[s], ept: 1.47/2.33[h]) loss_total: 0.528, acc_r: 0.760
(ep: 4, it: 100800, t: 0.057[s], ept: 1.55/2.33[h]) loss_total: 0.462, acc_r: 0.820
(ep: 4, it: 105800, t: 0.057[s], ept: 1.63/2.33[h]) loss_total: 0.569, acc_r: 0.740
(ep: 4, it: 110800, t: 0.057[s], ept: 1.71/2.33[h]) loss_total: 0.452, acc_r: 0.850
(ep: 4, it: 115800, t: 0.057[s], ept: 1.78/2.33[h]) loss_total: 0.473, acc_r: 0.800
(ep: 4, it: 120800, t: 0.057[s], ept: 1.86/2.33[h]) loss_total: 0.459, acc_r: 0.750
(ep: 4, it: 125800, t: 0.057[s], ept: 1.94/2.33[h]) loss_total: 0.551, acc_r: 0.720
(ep: 4, it: 130800, t: 0.057[s], ept: 2.01/2.33[h]) loss_total: 0.359, acc_r: 0.850
(ep: 4, it: 135800, t: 0.057[s], ept: 2.09/2.33[h]) loss_total: 0.556, acc_r: 0.720
(ep: 4, it: 140800, t: 0.057[s], ept: 2.17/2.33[h]) loss_total: 0.389, acc_r: 0.850
(ep: 4, it: 145800, t: 0.057[s], ept: 2.24/2.33[h]) loss_total: 0.475, acc_r: 0.760
(ep: 4, it: 150800, t: 0.057[s], ept: 2.32/2.33[h]) loss_total: 0.576, acc_r: 0.690
(ep: 5, it: 4400, t: 0.057[s], ept: 0.07/2.36[h]) loss_total: 0.487, acc_r: 0.760
(ep: 5, it: 9400, t: 0.057[s], ept: 0.14/2.35[h]) loss_total: 0.526, acc_r: 0.720
(ep: 5, it: 14400, t: 0.057[s], ept: 0.22/2.34[h]) loss_total: 0.420, acc_r: 0.800
(ep: 5, it: 19400, t: 0.057[s], ept: 0.30/2.34[h]) loss_total: 0.607, acc_r: 0.660
(ep: 5, it: 24400, t: 0.057[s], ept: 0.38/2.34[h]) loss_total: 0.528, acc_r: 0.770
(ep: 5, it: 29400, t: 0.057[s], ept: 0.45/2.34[h]) loss_total: 0.426, acc_r: 0.800
(ep: 5, it: 34400, t: 0.057[s], ept: 0.53/2.33[h]) loss_total: 0.534, acc_r: 0.720
