(ep: 3, it: 127200, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.420, acc_r: 0.800
(ep: 3, it: 132200, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.399, acc_r: 0.860
(ep: 3, it: 137200, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.417, acc_r: 0.790
(ep: 3, it: 142200, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.475, acc_r: 0.770
(ep: 3, it: 147200, t: 0.004[s], ept: 0.12/0.12[h]) loss_total: 0.442, acc_r: 0.770
(ep: 4, it: 800, t: 0.004[s], ept: 0.00/0.16[h]) loss_total: 0.474, acc_r: 0.740
(ep: 4, it: 5800, t: 0.004[s], ept: 0.00/0.13[h]) loss_total: 0.399, acc_r: 0.830
(ep: 4, it: 10800, t: 0.004[s], ept: 0.01/0.13[h]) loss_total: 0.569, acc_r: 0.730
(ep: 4, it: 15800, t: 0.004[s], ept: 0.01/0.12[h]) loss_total: 0.535, acc_r: 0.720
(ep: 4, it: 20800, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.565, acc_r: 0.680
(ep: 4, it: 25800, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.400, acc_r: 0.730
(ep: 4, it: 30800, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.499, acc_r: 0.760
(ep: 4, it: 35800, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.583, acc_r: 0.720
(ep: 4, it: 40800, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.468, acc_r: 0.760
(ep: 4, it: 45800, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.388, acc_r: 0.850
(ep: 4, it: 50800, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.352, acc_r: 0.850
(ep: 4, it: 55800, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.520, acc_r: 0.670
(ep: 4, it: 60800, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.314, acc_r: 0.880
(ep: 4, it: 65800, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.379, acc_r: 0.800
